Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
"Sau-Bassols, J; Ferrer-San-José, R; Prieto-Araujo, E; Gomis-Bellmunt, O; "	Coordinated control design of the voltage and current loop of a Current Flow Controller for meshed HVDC grids					2017	IET Digital Library
"Thams, Florian; Chatzivasileiadis, Spyros; Prieto-Araujo, Eduardo; Eriksson, Robert; "	Disturbance attenuation of DC voltage droop control structures in a multi-terminal HVDC grid	2017 IEEE Manchester PowerTech			01-Jun	2017	IEEE
"Cwikowski, Oliver; Sau-Bassols, Joan; Chang, Bin; Prieto-Araujo, Eduardo; Barnes, Mike; Gomis-Bellmunt, Oriol; Shuttleworth, Roger; "	Integrated HVDC circuit breakers with current flow control capability	IEEE Transactions on Power Delivery	33	1	371-380	2017	IEEE
"Zhao, Q; García-González, J; Gomis-Bellmunt, O; Prieto-Araujo, E; Echavarren, FM; "	Impact of converter losses on the optimal power flow solution of hybrid networks based on VSC-MTDC	Electric Power Systems Research	151		395-403	2017	Elsevier
"Araujo, Eduardo Prieto; "	Anàlisi dinàmica de xarxes multiterminal HVDC-VSC per al transport d'energia elèctrica en corrent continu en parcs eòlics marins					2011	
"Portabella Pla, Oriol; "	Programación mediante el framework QT de un sistema SCADA para una microred de laboratorio destinada a el estudio de Sistemas de Gestión de Energia (EMS)					2017	Universitat Politècnica de Catalunya
"Cheah Mañé, Marc; "	Implementació d'una microxarxa monofàsica basada en convertidors de tipologia VSC					2013	Universitat Politècnica de Catalunya
"Rodriguez, Joan Marc; Prieto, Eduardo; Girbau, Francesc; Sumper, Andreas; Villafafila-Robles, Roberto; Vidal-Closb, Josep-Andreu; "	Experimental Validation of a Single Phase Intelligent Power Router					2015	
"Romani Vidal, Jordi; "	Control and simulation of multi-terminal VSC-HVDC grids for offshore wind integration					2015	Universitat Politècnica de Catalunya
"Pujol Martínez, Joan; "	Gestió i dimensionament de la Recàrrega Elèctrica d’una Flota de Vehicles					2015	Universitat Politècnica de Catalunya
"R. Ferrer-San-Jose, E. Prieto-Araujo, O. Gomis-Bellmunt, F. Colas, D. Marin, X. Guillaud, M. Haijan, S. Nguefeu; "	Design and implementation of an LCL DC/DC converter prototype for DC grids	COSYS-DC 2017				2017	
"Sakamuri, Jayachandra N; Altin, Anca D Hansen Mufit; Cutululis, Nicolaos A; Sau-Bassols, Joan; Prieto-Araujo, Eduardo; "	Suitable method of overloading for fast primary frequency control from offshore wind power plants in multi-terminal DC grid	2017 IEEE Manchester PowerTech			01-Jun	2017	IEEE
"Schönleber, Kevin; Prieto-Araujo, Eduardo; Ratés-Palau, Sergi; Gomis-Bellmunt, Oriol; "	Handling of unbalanced faults in HVDC-connected wind power plants	Electric Power Systems Research	152		148-159	2017	Elsevier
"Raza, Muhammad; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; "	Small-signal stability analysis of offshore AC network having multiple VSC-HVDC systems	IEEE Transactions on Power Delivery	33	2	830-839	2017	IEEE
"Sau-Bassols, Joan; Prieto-Araujo, Eduardo; Gomis-Bellmunt, Oriol; Hassan, Fainan; "	Series Interline DC/DC Current Flow Controller for Meshed HVDC Grids	IEEE Transactions on Power Delivery	33	2	881-891	2018	IEEE
"Prieto-Araujo, Eduardo; Bolboceanu, Doru Bogdan; Sánchez-Sánchez, Enric; Gomis-Bellmunt, Oriol; "	Design methodology of the primary droop voltage control for DC microgrids	2017 IEEE Second International Conference on DC Microgrids (ICDCM)			529-535	2017	IEEE
"Prieto-Araujo, Eduardo; AragÃ¼Ã, MÃ²nica; Gomis-Bellmunt, Oriol; "	Power reduction coordinated scheme for wind power plants connected with VSC-HVDC	Renewable energy				2017	Elsevier Ltd
"Prieto-Araujo, Eduardo; AragÃ¼Ã, MÃ²nica; Gomis-Bellmunt, Oriol; "	Power reduction coordinated scheme for wind power plants connected with VSC-HVDC	Renewable energy				2017	Elsevier Ltd
"Prieto-Araujo, Eduardo; Junyent-Ferré, Adrià; Collados-Rodríguez, Carlos; Clariana-Colet, Gerard; Gomis-Bellmunt, Oriol; "	Control design of Modular Multilevel Converters in normal and AC fault conditions for HVDC grids	Electric Power Systems Research	152		424-437	2017	Elsevier
